,model,dic,model_type
1527,angle_mod_2390_1,-50558.346196285966,Collapsing Bounds
1407,angle_mod_2261_1,-50519.58717334899,Collapsing Bounds
1788,angle_mod_2190_1,-50444.2732982477,Collapsing Bounds
167,angle_mod_2117_1,-50432.95075530456,Collapsing Bounds
2093,angle_mod_2284_1,-50432.18713520457,Collapsing Bounds
1892,angle_mod_1047_1,-50431.28303572344,Collapsing Bounds
2310,angle_mod_1373_1,-50430.687445624724,Collapsing Bounds
1044,angle_mod_2239_1,-50430.34328951689,Collapsing Bounds
1307,angle_mod_1927_1,-50427.97474321137,Collapsing Bounds
191,angle_mod_1465_1,-50427.96139899064,Collapsing Bounds
657,angle_mod_1716_1,-50427.61949893683,Collapsing Bounds
1074,angle_mod_1784_1,-50426.164529077454,Collapsing Bounds
1740,angle_mod_1712_1,-50423.46412925237,Collapsing Bounds
423,angle_mod_1921_1,-50422.46630364521,Collapsing Bounds
2127,angle_mod_1778_1,-50420.876298073,Collapsing Bounds
2573,angle_mod_2092_1,-50420.715564231345,Collapsing Bounds
436,angle_mod_2065_1,-50417.51265955472,Collapsing Bounds
2187,angle_mod_2206_1,-50417.385494636466,Collapsing Bounds
166,angle_mod_1916_1,-50415.35102669455,Collapsing Bounds
1358,angle_mod_2167_1,-50413.28858318598,Collapsing Bounds
1968,angle_mod_1860_1,-50411.14957369124,Collapsing Bounds
1472,angle_mod_2060_1,-50406.05945140696,Collapsing Bounds
631,angle_mod_2069_1,-50405.19428549126,Collapsing Bounds
213,angle_mod_1062_1,-50404.13846188571,Collapsing Bounds
338,angle_mod_1222_1,-50404.0857733641,Collapsing Bounds
1890,angle_mod_2391_1,-50402.47822215593,Collapsing Bounds
2077,angle_mod_1739_1,-50400.98031094837,Collapsing Bounds
2312,angle_mod_1959_1,-50400.816876950295,Collapsing Bounds
1618,angle_mod_1683_1,-50399.72310018721,Collapsing Bounds
271,angle_mod_2224_1,-50398.80606657595,Collapsing Bounds
1134,angle_mod_1478_1,-50398.60484350455,Collapsing Bounds
2398,angle_mod_1523_1,-50396.60796961317,Collapsing Bounds
2400,angle_mod_1173_1,-50396.30375378563,Collapsing Bounds
901,angle_mod_1091_1,-50393.273014842474,Collapsing Bounds
1542,angle_mod_2113_1,-50390.43605817607,Collapsing Bounds
2149,angle_mod_2103_1,-50389.938939589396,Collapsing Bounds
2654,angle_mod_1542_1,-50388.11108627566,Collapsing Bounds
1661,angle_mod_1355_1,-50388.0485965151,Collapsing Bounds
865,angle_mod_2078_1,-50387.34617721838,Collapsing Bounds
